spd,t_cur_vol,cur,vol,SOC,pedal_pos,gear,brakeState,Total_Disc,Total_c,Evap_enable,lheat,rheat,Odometer,lat,long,DIR_torque,DIR_axleSpeed,batteryheat,Pack_min,Pack_max,tempAmbient,elevation,hvac_State,RemainingEnergy,thsHumidity,thsTemperature,SteeringSpeed129,SteeringAngle129,PCS_dcdcLvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcLvOutputCurrent,Resistance,hvac_request,Fogstatus,Time,timestamp,flag
0.0,5028.18,1.1,383.81,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,-0.1,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.515625,384.08203125,28.9,5000.0,1.0,0.0,2023-04-22 07:39:24.640388,2023-4-22-0-0-56,4
0.0,5028.23,1.2000000000000002,383.86,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.1,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.515625,384.08203125,28.9,5000.0,1.0,0.0,2023-04-22 07:39:24.650388,2023-4-22-0-0-56,4
0.0,5028.28,1.1,383.89,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.1,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.5,23.200000000000045,13.5546875,384.08203125,29.700000000000003,5000.0,1.0,0.0,2023-04-22 07:39:24.650388,2023-4-22-0-0-56,4
0.0,5028.33,1.2000000000000002,383.83,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.5,23.200000000000045,13.5546875,384.08203125,29.700000000000003,5000.0,1.0,0.0,2023-04-22 07:39:24.650388,2023-4-22-0-0-56,4
0.0,5028.38,1.2000000000000002,383.77,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.5546875,384.08203125,29.700000000000003,5000.0,1.0,0.0,2023-04-22 07:39:24.650388,2023-4-22-0-0-56,4
0.0,5028.43,1.2000000000000002,383.86,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,-0.5,23.200000000000045,13.5546875,384.08203125,29.700000000000003,5000.0,1.0,0.0,2023-04-22 07:39:24.660388,2023-4-22-0-0-56,4
0.0,5028.48,1.1,383.78,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.5546875,384.08203125,29.0,5000.0,1.0,0.0,2023-04-22 07:39:24.660388,2023-4-22-0-0-56,4
0.0,5028.53,1.2000000000000002,383.8,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.5546875,384.08203125,29.0,5000.0,1.0,0.0,2023-04-22 07:39:24.660388,2023-4-22-0-0-56,4
0.0,5028.58,1.1,383.76,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.5546875,384.08203125,29.3,5000.0,1.0,0.0,2023-04-22 07:39:24.660388,2023-4-22-0-0-56,4
0.0,5028.63,1.1,383.96,75.0,0.0,4.0,2.0,29345.062,30224.346,0.0,0.0,0.0,115440.366,43.877711,125.293784,0.0,0.0,0.0,15.75,21.5,9.5,248.0,0.0,70.4,13.0,31.0,0.0,23.200000000000045,13.5546875,384.08203125,29.3,5000.0,1.0,0.0,2023-04-22 07:39:24.670388,2023-4-22-0-0-56,4
