spd,t_cur_vol,cur,vol,SOC,pedal_pos,gear,brakeState,Total_Disc,Total_c,Evap_enable,lheat,rheat,Odometer,lat,long,DIR_torque,DIR_axleSpeed,batteryheat,Pack_min,Pack_max,tempAmbient,elevation,hvac_State,RemainingEnergy,thsHumidity,thsTemperature,SteeringSpeed129,SteeringAngle129,PCS_dcdcLvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcLvOutputCurrent,Resistance,hvac_request,Fogstatus,Time,timestamp,flag
0.0,521.26,0.8,401.24,100.0,0.0,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.0,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-0.5,109.60000000000002,13.515625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.050144,2023-5-10-5-23-59,1
0.0,521.31,0.8,401.26,100.0,0.0,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.0,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-2.0,109.5,13.515625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.050144,2023-5-10-5-23-59,1
0.0,521.36,0.7000000000000001,401.34,100.0,2.4000000000000004,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-2.5,109.39999999999998,13.515625,401.3671875,20.4,4710.0,1.0,0.0,2023-05-10 13:15:11.060144,2023-5-10-5-23-59,1
0.0,521.41,0.7000000000000001,401.33,100.0,12.8,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-2.5,109.20000000000005,13.515625,401.3671875,20.4,4710.0,1.0,0.0,2023-05-10 13:15:11.060144,2023-5-10-5-23-59,1
0.0,521.46,0.8,401.24,100.0,23.200000000000003,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,-0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-5.0,108.89999999999998,13.4765625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.060144,2023-5-10-5-23-59,1
0.0,521.51,0.8,401.19,100.0,30.0,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,-0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-10.0,108.20000000000005,13.4765625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.060144,2023-5-10-5-23-59,1
0.0,521.56,0.8,401.4,100.0,30.8,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-17.5,107.10000000000002,13.4765625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.070144,2023-5-10-5-23-59,1
0.0,521.61,0.7000000000000001,401.34,100.0,28.8,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.1,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-27.0,105.60000000000002,13.4765625,401.3671875,20.3,4710.0,1.0,0.0,2023-05-10 13:15:11.070144,2023-5-10-5-23-59,1
0.0,521.66,0.8,401.29,100.0,24.0,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.0,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-33.0,103.89999999999998,13.4765625,401.3671875,21.0,4710.0,1.0,0.0,2023-05-10 13:15:11.070144,2023-5-10-5-23-59,1
0.0,521.71,0.8,401.26,100.0,22.8,1.0,2.0,30072.794,30986.838,0.0,0.0,0.0,118432.819,43.800941,125.220519,0.0,0.0,0.0,26.5,30.25,23.5,210.0,0.0,,8.0,38.0,-30.0,102.60000000000002,13.4765625,401.3671875,21.0,4710.0,1.0,0.0,2023-05-10 13:15:11.070144,2023-5-10-5-23-59,1
