spd,t_cur_vol,cur,vol,SOC,pedal_pos,gear,brakeState,Total_Disc,Total_c,Evap_enable,lheat,rheat,Odometer,lat,long,DIR_torque,DIR_axleSpeed,batteryheat,Pack_min,Pack_max,tempAmbient,elevation,hvac_State,RemainingEnergy,thsHumidity,thsTemperature,SteeringSpeed129,SteeringAngle129,PCS_dcdcLvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcLvOutputCurrent,Resistance,hvac_request,Fogstatus,Time,timestamp,flag
0.0,11648.96,1.2000000000000002,356.13,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,-0.5,6.5,13.5546875,356.25,28.6,5060.0,1.0,0.0,2023-04-22 18:32:53.230340,2023-4-22-10-51-44,13
0.0,11649.01,1.3,356.14,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.5,13.5546875,356.25,28.6,5060.0,1.0,0.0,2023-04-22 18:32:53.230340,2023-4-22-10-51-44,13
0.0,11649.06,1.3,356.09000000000003,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,1.0,70.4,17.0,23.0,0.5,6.5,13.5546875,356.25,29.9,5060.0,1.0,0.0,2023-04-22 18:32:53.230340,2023-4-22-10-51-44,13
0.0,11649.11,1.3,356.05,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,-0.5,6.5,13.5546875,356.25,29.9,5060.0,1.0,0.0,2023-04-22 18:32:53.230340,2023-4-22-10-51-44,13
0.0,11649.16,1.3,356.01,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,1.0,70.4,17.0,23.0,0.0,6.5,13.5546875,356.25,29.9,5060.0,1.0,0.0,2023-04-22 18:32:53.240340,2023-4-22-10-51-44,13
0.0,11649.21,1.2000000000000002,356.25,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.5,6.5,13.5546875,356.25,29.9,5060.0,1.0,0.0,2023-04-22 18:32:53.240340,2023-4-22-10-51-44,13
0.0,11649.26,1.3,356.06,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,-0.5,6.5,13.5546875,356.25,30.1,5060.0,1.0,0.0,2023-04-22 18:32:53.240340,2023-4-22-10-51-44,13
0.0,11649.31,1.2000000000000002,356.17,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,-0.5,6.5,13.5546875,356.25,30.1,5060.0,1.0,0.0,2023-04-22 18:32:53.240340,2023-4-22-10-51-44,13
0.0,11649.36,1.3,356.16,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.1,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.5,6.5,13.5546875,356.25,30.6,5060.0,1.0,0.0,2023-04-22 18:32:53.250340,2023-4-22-10-51-44,13
0.0,11649.41,1.2000000000000002,356.19,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.1,0.0,23.75,30.75,11.5,203.0,1.0,70.4,17.0,23.0,0.0,6.5,13.5546875,356.25,30.6,5060.0,1.0,0.0,2023-04-22 18:32:53.250340,2023-4-22-10-51-45,13
0.0,11649.46,1.3,356.06,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.5,13.5546875,356.25,30.5,5060.0,1.0,0.0,2023-04-22 18:32:53.250340,2023-4-22-10-51-45,13
0.0,11649.51,1.2000000000000002,356.0,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.5,6.5,13.5546875,356.25,30.5,5060.0,1.0,0.0,2023-04-22 18:32:53.250340,2023-4-22-10-51-45,13
0.0,11649.56,1.3,356.02,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,-0.5,6.5,13.515625,356.25,30.4,5060.0,1.0,0.0,2023-04-22 18:32:53.260340,2023-4-22-10-51-45,13
0.0,11649.61,1.3,356.14,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.5,13.515625,356.25,30.4,5060.0,1.0,0.0,2023-04-22 18:32:53.260340,2023-4-22-10-51-45,13
0.0,11649.66,1.3,356.04,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,1.0,70.4,17.0,23.0,0.0,6.5,13.5546875,356.25,30.700000000000003,5060.0,1.0,0.0,2023-04-22 18:32:53.260340,2023-4-22-10-51-45,13
0.0,11649.71,1.3,356.15000000000003,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.399999999999977,13.5546875,356.25,30.700000000000003,5060.0,1.0,0.0,2023-04-22 18:32:53.260340,2023-4-22-10-51-45,13
0.0,11649.76,1.3,356.16,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,1.0,70.4,17.0,23.0,0.0,6.399999999999977,13.5546875,356.25,29.5,5060.0,1.0,0.0,2023-04-22 18:32:53.270340,2023-4-22-10-51-45,13
0.0,11649.81,1.3,356.23,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.399999999999977,13.5546875,356.25,29.5,5060.0,1.0,0.0,2023-04-22 18:32:53.270340,2023-4-22-10-51-45,13
0.0,11649.86,1.3,356.24,42.400000000000006,0.0,4.0,2.0,29381.232,30238.98,0.0,0.0,0.0,115576.582,43.879508,125.341663,0.0,0.0,0.0,23.75,30.75,11.5,203.0,0.0,70.4,17.0,23.0,0.0,6.399999999999977,13.515625,356.25,30.8,5060.0,1.0,0.0,2023-04-22 18:32:53.270340,2023-4-22-10-51-45,13
