spd,t_cur_vol,cur,vol,SOC,pedal_pos,gear,brakeState,Total_Disc,Total_c,Evap_enable,lheat,rheat,Odometer,lat,long,DIR_torque,DIR_axleSpeed,batteryheat,Pack_min,Pack_max,tempAmbient,elevation,hvac_State,RemainingEnergy,thsHumidity,thsTemperature,SteeringSpeed129,SteeringAngle129,PCS_dcdcLvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcLvOutputCurrent,Resistance,hvac_request,Fogstatus,Time,timestamp,flag
0.0,7268.54,1.1,380.3,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,28.1,5000.0,1.0,0.0,2023-04-22 08:08:51.580500,2023-4-22-0-38-16,6
0.0,7268.59,1.1,380.33,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,28.1,5000.0,1.0,0.0,2023-04-22 08:08:51.580500,2023-4-22-0-38-16,6
0.0,7268.64,1.2000000000000002,380.29,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,-0.1,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.1,5000.0,1.0,0.0,2023-04-22 08:08:51.580500,2023-4-22-0-38-16,6
0.0,7268.69,1.1,380.17,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,-0.1,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.1,5000.0,1.0,0.0,2023-04-22 08:08:51.590500,2023-4-22-0-38-16,6
0.0,7268.74,1.2000000000000002,380.26,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.59375,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.590500,2023-4-22-0-38-16,6
0.0,7268.79,1.1,380.31,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.59375,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.590500,2023-4-22-0-38-16,6
0.0,7268.84,1.1,380.3,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2000000000000457,13.59375,380.56640625,28.8,5000.0,1.0,0.0,2023-04-22 08:08:51.590500,2023-4-22-0-38-16,6
0.0,7268.89,1.2000000000000002,380.43,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.59375,380.56640625,28.8,5000.0,1.0,0.0,2023-04-22 08:08:51.600500,2023-4-22-0-38-16,6
0.0,7268.94,1.2000000000000002,380.34,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.3,5000.0,1.0,0.0,2023-04-22 08:08:51.600500,2023-4-22-0-38-17,6
0.0,7268.99,1.2000000000000002,380.29,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.3,5000.0,1.0,0.0,2023-04-22 08:08:51.600500,2023-4-22-0-38-17,6
0.0,7269.04,1.1,380.26,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2000000000000457,13.5546875,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.600500,2023-4-22-0-38-17,6
0.0,7269.09,1.2000000000000002,380.25,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.610500,2023-4-22-0-38-17,6
0.0,7269.14,1.1,380.37,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,28.9,5000.0,1.0,0.0,2023-04-22 08:08:51.610500,2023-4-22-0-38-17,6
0.0,7269.19,1.2000000000000002,380.36,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,28.9,5000.0,1.0,0.0,2023-04-22 08:08:51.610500,2023-4-22-0-38-17,6
0.0,7269.24,1.1,380.24,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.610500,2023-4-22-0-38-17,6
0.0,7269.29,1.2000000000000002,380.23,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.4,5000.0,1.0,0.0,2023-04-22 08:08:51.620500,2023-4-22-0-38-17,6
0.0,7269.34,1.1,380.33,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.515625,380.56640625,27.700000000000003,5000.0,1.0,0.0,2023-04-22 08:08:51.620500,2023-4-22-0-38-17,6
0.0,7269.39,1.1,380.4,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.515625,380.56640625,27.700000000000003,5000.0,1.0,0.0,2023-04-22 08:08:51.620500,2023-4-22-0-38-17,6
0.0,7269.44,1.2000000000000002,380.32,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.200000000000003,5000.0,1.0,0.0,2023-04-22 08:08:51.620500,2023-4-22-0-38-17,6
0.0,7269.49,1.2000000000000002,380.18,72.8,0.0,4.0,2.0,29347.454,30225.284,0.0,0.0,0.0,115448.99,43.877727,125.293374,0.0,0.0,0.0,17.0,23.0,10.0,243.0,0.0,70.4,13.0,32.0,0.0,1.2999999999999543,13.5546875,380.56640625,29.200000000000003,5000.0,1.0,0.0,2023-04-22 08:38:12.000000,2023-4-22-0-38-17,6
